Element,ElementToOxideRatio
Fe,0.6994307614270416
Mg,0.6030418816990869
Si,0.46743671254764246
S,0.40050211086408033
Ca,0.7146958646147261
Na,0.7418641798028364
Mn,0.7744618464271115
Ni,0.7858015005542733
